"disease"	"codetype"	"diag_code"	"readcode"	"description"	"comment"
"51"	"Acute coronary syndrome"	"Aurum"	"299709018"	"G301z00"	"Anterior myocardial infarction NOS"	""
"52"	"Acute coronary syndrome"	"Aurum"	"299710011"	"G304.00"	"Posterior myocardial infarction NOS"	""
"53"	"Acute coronary syndrome"	"Aurum"	"299711010"	"G305.00"	"Lateral myocardial infarction NOS"	""
"54"	"Acute coronary syndrome"	"Aurum"	"299712015"	"G306.00"	"True posterior myocardial infarction"	""
"55"	"Acute coronary syndrome"	"Aurum"	"299714019"	"G308.00"	"Inferior myocardial infarction NOS"	""
"56"	"Acute coronary syndrome"	"Aurum"	"299718016"	"G30y.00"	"Other acute myocardial infarction"	""
"57"	"Acute coronary syndrome"	"Aurum"	"299719012"	"G30y000"	"Acute atrial infarction"	""
"58"	"Acute coronary syndrome"	"Aurum"	"299720018"	"G30yz00"	"Other acute myocardial infarction NOS"	""
"59"	"Acute coronary syndrome"	"Aurum"	"299721019"	"G30z.00"	"Acute myocardial infarction NOS"	""
"60"	"Acute coronary syndrome"	"Aurum"	"299741012"	"G311z00"	"Preinfarction syndrome NOS"	""
"61"	"Acute coronary syndrome"	"Aurum"	"299742017"	"G312.00"	"Coronary thrombosis not resulting in myocardial infarction"	""
"62"	"Acute coronary syndrome"	"Aurum"	"299745015"	"G31y000"	"Acute coronary insufficiency"	""
"63"	"Acute coronary syndrome"	"Aurum"	"299750014"	"G31yz00"	"Other acute and subacute ischaemic heart disease NOS"	""
"64"	"Acute coronary syndrome"	"Aurum"	"299808017"	"G35..00"	"Subsequent myocardial infarction"	""
"65"	"Acute coronary syndrome"	"Aurum"	"299811016"	"G350.00"	"Subsequent myocardial infarction of anterior wall"	""
"66"	"Acute coronary syndrome"	"Aurum"	"299812011"	"G351.00"	"Subsequent myocardial infarction of inferior wall"	""
"67"	"Acute coronary syndrome"	"Aurum"	"299813018"	"G353.00"	"Subsequent myocardial infarction of other sites"	""
"68"	"Acute coronary syndrome"	"Aurum"	"300876010"	"Gyu3200"	"[X]Other forms of acute ischaemic heart disease"	""
"69"	"Acute coronary syndrome"	"Aurum"	"300881018"	"Gyu3500"	"[X]Subsequent myocardial infarction of other sites"	""
"70"	"Acute coronary syndrome"	"Aurum"	"300882013"	"Gyu3600"	"[X]Subsequent myocardial infarction of unspecified site"	""
"71"	"Acute coronary syndrome"	"Aurum"	"3185771000006112"	""	"Microinfarct of heart"	""
"72"	"Acute coronary syndrome"	"Aurum"	"3343471000006116"	""	"Acute anteroapical myocardial infarction"	""
"73"	"Acute coronary syndrome"	"Aurum"	"3381601000006117"	""	"Acute myocardial infarction of anterior wall"	""
"74"	"Acute coronary syndrome"	"Aurum"	"3427201000006111"	""	"AMI - Acute myocardial infarction"	""
"75"	"Acute coronary syndrome"	"Aurum"	"3452181000006112"	""	"Acute myocardial infarction of lateral wall"	""
"76"	"Acute coronary syndrome"	"Aurum"	"3458791000006114"	""	"Anginal chest pain at rest"	""
"77"	"Acute coronary syndrome"	"Aurum"	"3565871000006113"	""	"Acute myocardial infarction of inferolateral wall"	""
"78"	"Acute coronary syndrome"	"Aurum"	"362461000006119"	"Gyu3400"	"[X]Acute transmural myocardial infarction of unspecif site"	""
"79"	"Acute coronary syndrome"	"Aurum"	"3641641000006116"	""	"Acute myocardial infarction of anterolateral wall"	""
"80"	"Acute coronary syndrome"	"Aurum"	"3645351000006114"	""	"Acute nontransmural infarction"	""
"81"	"Acute coronary syndrome"	"Aurum"	"3699911000006119"	""	"Acute myocardial infarction of diaphragmatic wall"	""
"82"	"Acute coronary syndrome"	"Aurum"	"3699921000006110"	""	"Acute inferior myocardial infarction"	""
"83"	"Acute coronary syndrome"	"Aurum"	"37443015"	"G30..14"	"Heart attack"	""
"84"	"Acute coronary syndrome"	"Aurum"	"3745741000006117"	""	"Acute myocardial infarction of inferoposterior wall"	""
"85"	"Acute coronary syndrome"	"Aurum"	"3784911000006111"	""	"Acute myocardial infarction of septum"	""
"86"	"Acute coronary syndrome"	"Aurum"	"3784921000006115"	""	"Acute myocardial infarction of septum alone"	""
"87"	"Acute coronary syndrome"	"Aurum"	"39111000006114"	"G31..00"	"Other acute and subacute ischaemic heart disease"	""
"88"	"Acute coronary syndrome"	"Aurum"	"408571000006116"	"Gyu3100"	"[X]Other current complicatns following acute myocard infarct"	""
"89"	"Acute coronary syndrome"	"Aurum"	"447324018"	"G309.00"	"Acute Q-wave infarct"	""
"90"	"Acute coronary syndrome"	"Aurum"	"450322013"	"G307000"	"Acute non-Q wave infarction"	""
"91"	"Acute coronary syndrome"	"Aurum"	"455422014"	"G384.00"	"Postoperative subendocardial myocardial infarction"	""
"92"	"Acute coronary syndrome"	"Aurum"	"455423016"	"G38z.00"	"Postoperative myocardial infarction, unspecified"	""
"93"	"Acute coronary syndrome"	"Aurum"	"455641000006112"	"G300.00"	"Acute anterolateral infarction"	""
"94"	"Acute coronary syndrome"	"Aurum"	"455651000006114"	"G301100"	"Acute anteroseptal infarction"	""
"95"	"Acute coronary syndrome"	"Aurum"	"457531000006110"	"G302.00"	"Acute inferolateral infarction"	""
"96"	"Acute coronary syndrome"	"Aurum"	"4585951000006112"	""	"EKG myocardial ischemia"	""
"97"	"Acute coronary syndrome"	"Aurum"	"4586031000006113"	""	"Electrocardiogram finding of infarction"	""
"98"	"Acute coronary syndrome"	"Aurum"	"4586041000006115"	""	"Electrocardiographic myocardial infarction"	""
"99"	"Acute coronary syndrome"	"Aurum"	"4586051000006118"	""	"EKG: myocardial infarction"	""
"100"	"Acute coronary syndrome"	"Aurum"	"4586111000006115"	""	"Anteroseptal infarction on electrocardiogram"	""
"101"	"Acute coronary syndrome"	"Aurum"	"4586131000006114"	""	"ECG: anteroseptal infarction"	""
"102"	"Acute coronary syndrome"	"Aurum"	"4586141000006116"	""	"Electrocardiogram: anteroseptal infarction"	""
"103"	"Acute coronary syndrome"	"Aurum"	"4586151000006119"	""	"ECG: antero-septal infarct"	""
"104"	"Acute coronary syndrome"	"Aurum"	"4586171000006112"	""	"EKG:posterior/inferior infarct"	""
"105"	"Acute coronary syndrome"	"Aurum"	"4586181000006110"	""	"Electrocardiographic posterior/inferior infarct"	""
"106"	"Acute coronary syndrome"	"Aurum"	"4586201000006111"	""	"EKG: subendocardial infarct"	""
"107"	"Acute coronary syndrome"	"Aurum"	"4586211000006114"	""	"Electrocardiographic subendocardial infarct"	""
"108"	"Acute coronary syndrome"	"Aurum"	"4586221000006118"	""	"Lateral infarction on electrocardiogram"	""
"109"	"Acute coronary syndrome"	"Aurum"	"4586241000006113"	""	"Electrocardiogram: lateral infarction"	""
"110"	"Acute coronary syndrome"	"Aurum"	"4587511000006114"	""	"Electrocardiographic ST interval abnormal"	""
"111"	"Acute coronary syndrome"	"Aurum"	"460681000006116"	"G30X.00"	"Acute transmural myocardial infarction of unspecif site"	""
"112"	"Acute coronary syndrome"	"Aurum"	"4775881000006117"	""	"True posterior wall infarction"	""
"113"	"Acute coronary syndrome"	"Aurum"	"4775891000006119"	""	"Acute myocardial infarction of atrium"	""
"114"	"Acute coronary syndrome"	"Aurum"	"4775931000006111"	""	"Aborted myocardial infarction"	""
"115"	"Acute coronary syndrome"	"Aurum"	"4776171000006116"	""	"Reinfarction of myocardium"	""
"116"	"Acute coronary syndrome"	"Aurum"	"4776221000006110"	""	"Hemopericardium as current complication following acute myocardial infarction"	""
"117"	"Acute coronary syndrome"	"Aurum"	"4776251000006118"	""	"Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction"	""
"118"	"Acute coronary syndrome"	"Aurum"	"494260016"	"G311.12"	"Impending infarction"	""
"119"	"Acute coronary syndrome"	"Aurum"	"494261017"	"G311400"	"Worsening angina"	""
"120"	"Acute coronary syndrome"	"Aurum"	"498031000006112"	"G361.00"	"Atrial septal defect/curr comp folow acut myocardal infarct"	""
"121"	"Acute coronary syndrome"	"Aurum"	"498328016"	"G311200"	"Angina at rest"	""
"122"	"Acute coronary syndrome"	"Aurum"	"5056501000006113"	""	"Post-infarction ventricular septal defect"	""
"123"	"Acute coronary syndrome"	"Aurum"	"5056521000006115"	""	"Defect of ventricular septum following myocardial infarction"	""
"124"	"Acute coronary syndrome"	"Aurum"	"5056941000006119"	""	"Post-infarction pericarditis"	""
"125"	"Acute coronary syndrome"	"Aurum"	"5056951000006117"	""	"Pericarditis following myocardial infarction"	""
"126"	"Acute coronary syndrome"	"Aurum"	"537751000006115"	"G30..13"	"Cardiac rupture following myocardial infarction (MI)"	""
"127"	"Acute coronary syndrome"	"Aurum"	"543291000006110"	"G36..00"	"Certain current complication follow acute myocardial infarct"	""
"128"	"Acute coronary syndrome"	"Aurum"	"585631000000113"	"8H2V.00"	"Admit ischaemic heart disease emergency"	""
"129"	"Acute coronary syndrome"	"Aurum"	"5935321000006111"	""	"Acute Q wave myocardial infarction"	""
"130"	"Acute coronary syndrome"	"Aurum"	"6056601000006112"	""	"DIGAMI - diabetes mellitus insulin-glucose infusion in acute myocardial infarction"	""
"131"	"Acute coronary syndrome"	"Aurum"	"616081000006113"	"889A.00"	"Diab mellit insulin-glucose infus acute myocardial infarct"	""
"132"	"Acute coronary syndrome"	"Aurum"	"6348651000006112"	""	"Myocardial infarction with complication"	""
"133"	"Acute coronary syndrome"	"Aurum"	"6546111000006118"	""	"ACS - Acute coronary syndrome"	""
"134"	"Acute coronary syndrome"	"Aurum"	"6601121000006118"	""	"Coronary artery thrombosis"	""
"135"	"Acute coronary syndrome"	"Aurum"	"6601131000006115"	""	"CT - Coronary thrombosis"	""
"136"	"Acute coronary syndrome"	"Aurum"	"6619201000006117"	""	"Previous myocardial infarction"	""
"137"	"Acute coronary syndrome"	"Aurum"	"6651221000006117"	""	"STEMI - ST elevation myocardial infarction"	""
"138"	"Acute coronary syndrome"	"Aurum"	"6651391000006114"	""	"NSTEMI - Non-ST segment elevation MI"	""
"139"	"Acute coronary syndrome"	"Aurum"	"67081000006119"	"G362.00"	"Ventric septal defect/curr comp fol acut myocardal infarctn"	""
"140"	"Acute coronary syndrome"	"Aurum"	"682481000006118"	"G311000"	"Myocardial infarction aborted"	""
"141"	"Acute coronary syndrome"	"Aurum"	"72571000006115"	"G311.13"	"Unstable angina"	""
"142"	"Acute coronary syndrome"	"Aurum"	"7518981000006118"	""	"Emergency hospital admission for ischaemic heart disease"	""
"143"	"Acute coronary syndrome"	"Aurum"	"7519001000006115"	""	"Emergency hospital admission for ischemic heart disease"	""
"144"	"Acute coronary syndrome"	"Aurum"	"7844010"	"G311.00"	"Preinfarction syndrome"	""
"145"	"Acute coronary syndrome"	"Aurum"	"7845011"	"G311100"	"Unstable angina"	""
"146"	"Acute coronary syndrome"	"Aurum"	"7847015"	"G311.11"	"Crescendo angina"	""
"147"	"Acute coronary syndrome"	"Aurum"	"813961000006116"	"G360.00"	"Haemopericardium/current comp folow acut myocard infarct"	""
"148"	"Acute coronary syndrome"	"Aurum"	"854491000006113"	""	"Unstable angina"	""
"149"	"Acute coronary syndrome"	"Aurum"	"865031000006114"	"790H098"	"Infarct myocardiectomy"	""
"150"	"Acute coronary syndrome"	"Aurum"	"884141000006116"	"G30..98"	"Coronary thrombosis"	""
"151"	"Acute coronary syndrome"	"Aurum"	"884151000006119"	"G30..99"	"Myocardial Infarction"	""
"152"	"Acute coronary syndrome"	"Aurum"	"884161000006117"	"G31..99"	"Acute/subacute IHD NOS"	""
"153"	"Acute coronary syndrome"	"Aurum"	"931961000006117"	"G31y099"	"Acute coronary syndrome"	""
"154"	"Acute coronary syndrome"	"Aurum"	"932081000006118"	""	"First myocardial infarction"	""
"155"	"Acute coronary syndrome"	"Aurum"	"94884017"	"G30..00"	"Acute myocardial infarction"	""
"156"	"Acute coronary syndrome"	"Aurum"	"967931000006114"	"G30B.00"	"Acute posterolateral myocardial infarction"	""
"157"	"Acute coronary syndrome"	"Gold"	"10562"	"G307100"	"Acute non-ST segment elevation myocardial infarction"	""
"158"	"Acute coronary syndrome"	"Gold"	"106812"	"G383.00"	"Postoperative transmural myocardial infarction unspec site"	""
"159"	"Acute coronary syndrome"	"Gold"	"107406"	"7.92E+02"	"Emergency percutaneous coronary intervention"	""
"160"	"Acute coronary syndrome"	"Gold"	"109035"	"Gyu3500"	"[X]Subsequent myocardial infarction of other sites"	""
"161"	"Acute coronary syndrome"	"Gold"	"113358"	"Gyu3100"	"[X]Other current complicatns following acute myocard infarct"	""
"162"	"Acute coronary syndrome"	"Gold"	"11983"	"G311500"	"Acute coronary syndrome"	""
"163"	"Acute coronary syndrome"	"Gold"	"1204"	"G30..14"	"Heart attack"	""
"164"	"Acute coronary syndrome"	"Gold"	"12139"	"G300.00"	"Acute anterolateral infarction"	""
"165"	"Acute coronary syndrome"	"Gold"	"12229"	"G30X000"	"Acute ST segment elevation myocardial infarction"	""
"166"	"Acute coronary syndrome"	"Gold"	"13566"	"G30..11"	"Attack - heart"	""
"167"	"Acute coronary syndrome"	"Gold"	"13571"	"G30..16"	"Thrombosis - coronary"	""
"168"	"Acute coronary syndrome"	"Gold"	"14658"	"G30z.00"	"Acute myocardial infarction NOS"	""
"169"	"Acute coronary syndrome"	"Gold"	"14897"	"G301z00"	"Anterior myocardial infarction NOS"	""
"170"	"Acute coronary syndrome"	"Gold"	"14898"	"G305.00"	"Lateral myocardial infarction NOS"	""
"171"	"Acute coronary syndrome"	"Gold"	"1677"	"G30..15"	"MI - acute myocardial infarction"	""
"172"	"Acute coronary syndrome"	"Gold"	"1678"	"G308.00"	"Inferior myocardial infarction NOS"	""
"173"	"Acute coronary syndrome"	"Gold"	"17307"	"G311200"	"Angina at rest"	""
"174"	"Acute coronary syndrome"	"Gold"	"17872"	"G301100"	"Acute anteroseptal infarction"	""
"175"	"Acute coronary syndrome"	"Gold"	"18118"	"G311400"	"Worsening angina"	""
"176"	"Acute coronary syndrome"	"Gold"	"18842"	"G35..00"	"Subsequent myocardial infarction"	""
"177"	"Acute coronary syndrome"	"Gold"	"19655"	"G311.14"	"Angina at rest"	""
"178"	"Acute coronary syndrome"	"Gold"	"23708"	"G361.00"	"Atrial septal defect/curr comp folow acut myocardal infarct"	""
"179"	"Acute coronary syndrome"	"Gold"	"23892"	"G304.00"	"Posterior myocardial infarction NOS"	""
"180"	"Acute coronary syndrome"	"Gold"	"241"	"G30..00"	"Acute myocardial infarction"	""
"181"	"Acute coronary syndrome"	"Gold"	"24126"	"G360.00"	"Haemopericardium/current comp folow acut myocard infarct"	""
"182"	"Acute coronary syndrome"	"Gold"	"26972"	"3234.00"	"ECG:posterior/inferior infarct"	""
"183"	"Acute coronary syndrome"	"Gold"	"26975"	"3233.00"	"ECG: antero-septal infarct."	""
"184"	"Acute coronary syndrome"	"Gold"	"27951"	"G31..00"	"Other acute and subacute ischaemic heart disease"	""
"185"	"Acute coronary syndrome"	"Gold"	"27977"	"G31yz00"	"Other acute and subacute ischaemic heart disease NOS"	""
"186"	"Acute coronary syndrome"	"Gold"	"28736"	"G30y000"	"Acute atrial infarction"	""
"187"	"Acute coronary syndrome"	"Gold"	"29643"	"G303.00"	"Acute inferoposterior infarction"	""
"188"	"Acute coronary syndrome"	"Gold"	"29758"	"G30X.00"	"Acute transmural myocardial infarction of unspecif site"	""
"189"	"Acute coronary syndrome"	"Gold"	"30330"	"G309.00"	"Acute Q-wave infarct"	""
"190"	"Acute coronary syndrome"	"Gold"	"30421"	"G30..13"	"Cardiac rupture following myocardial infarction (MI)"	""
"191"	"Acute coronary syndrome"	"Gold"	"32272"	"G38..00"	"Postoperative myocardial infarction"	""
"192"	"Acute coronary syndrome"	"Gold"	"32854"	"G30B.00"	"Acute posterolateral myocardial infarction"	""
"193"	"Acute coronary syndrome"	"Gold"	"34803"	"G30y.00"	"Other acute myocardial infarction"	""
"194"	"Acute coronary syndrome"	"Gold"	"35119"	"G501.00"	"Post infarction pericarditis"	""
"195"	"Acute coronary syndrome"	"Gold"	"36423"	"G36..00"	"Certain current complication follow acute myocardial infarct"	""
"196"	"Acute coronary syndrome"	"Gold"	"36523"	"G311.00"	"Preinfarction syndrome"	""
"197"	"Acute coronary syndrome"	"Gold"	"3704"	"G307.00"	"Acute subendocardial infarction"	""
"198"	"Acute coronary syndrome"	"Gold"	"37657"	"G362.00"	"Ventric septal defect/curr comp fol acut myocardal infarctn"	""
"199"	"Acute coronary syndrome"	"Gold"	"38609"	"G351.00"	"Subsequent myocardial infarction of inferior wall"	""
"200"	"Acute coronary syndrome"	"Gold"	"39449"	"G312.00"	"Coronary thrombosis not resulting in myocardial infarction"	""
"201"	"Acute coronary syndrome"	"Gold"	"39655"	"G311.12"	"Impending infarction"	""
"202"	"Acute coronary syndrome"	"Gold"	"40429"	"G301000"	"Acute anteroapical infarction"	""
"203"	"Acute coronary syndrome"	"Gold"	"41221"	"G30y200"	"Acute septal infarction"	""
"204"	"Acute coronary syndrome"	"Gold"	"41835"	"G384.00"	"Postoperative subendocardial myocardial infarction"	""
"205"	"Acute coronary syndrome"	"Gold"	"45809"	"G350.00"	"Subsequent myocardial infarction of anterior wall"	""
"206"	"Acute coronary syndrome"	"Gold"	"46017"	"G30yz00"	"Other acute myocardial infarction NOS"	""
"207"	"Acute coronary syndrome"	"Gold"	"46112"	"G380.00"	"Postoperative transmural myocardial infarction anterior wall"	""
"208"	"Acute coronary syndrome"	"Gold"	"46166"	"G35X.00"	"Subsequent myocardial infarction of unspecified site"	""
"209"	"Acute coronary syndrome"	"Gold"	"46276"	"G381.00"	"Postoperative transmural myocardial infarction inferior wall"	""
"210"	"Acute coronary syndrome"	"Gold"	"4656"	"G311.11"	"Crescendo angina"	""
"211"	"Acute coronary syndrome"	"Gold"	"52705"	"3236.00"	"ECG: lateral infarction"	""
"212"	"Acute coronary syndrome"	"Gold"	"5387"	"G301.00"	"Other specified anterior myocardial infarction"	""
"213"	"Acute coronary syndrome"	"Gold"	"54251"	"G311z00"	"Preinfarction syndrome NOS"	""
"214"	"Acute coronary syndrome"	"Gold"	"55137"	"G311011"	"MI - myocardial infarction aborted"	""
"215"	"Acute coronary syndrome"	"Gold"	"55401"	"3235.00"	"ECG: subendocardial infarct"	""
"216"	"Acute coronary syndrome"	"Gold"	"59032"	"323Z.00"	"ECG: myocardial infarct NOS"	""
"217"	"Acute coronary syndrome"	"Gold"	"59940"	"G364.00"	"Ruptur chordae tendinae/curr comp fol acute myocard infarct"	""
"218"	"Acute coronary syndrome"	"Gold"	"61072"	"G311000"	"Myocardial infarction aborted"	""
"219"	"Acute coronary syndrome"	"Gold"	"61670"	"889A.00"	"Diab mellit insulin-glucose infus acute myocardial infarct"	""
"220"	"Acute coronary syndrome"	"Gold"	"62626"	"G30y100"	"Acute papillary muscle infarction"	""
"221"	"Acute coronary syndrome"	"Gold"	"63467"	"G306.00"	"True posterior myocardial infarction"	""
"222"	"Acute coronary syndrome"	"Gold"	"68357"	"G31y100"	"Microinfarction of heart"	""
"223"	"Acute coronary syndrome"	"Gold"	"68748"	"G38z.00"	"Postoperative myocardial infarction, unspecified"	""
"224"	"Acute coronary syndrome"	"Gold"	"69474"	"G365.00"	"Rupture papillary muscle/curr comp fol acute myocard infarct"	""
"225"	"Acute coronary syndrome"	"Gold"	"72562"	"G353.00"	"Subsequent myocardial infarction of other sites"	""
"226"	"Acute coronary syndrome"	"Gold"	"7347"	"G311100"	"Unstable angina"	""
"227"	"Acute coronary syndrome"	"Gold"	"7783"	"323..00"	"ECG: myocardial infarction"	""
"228"	"Acute coronary syndrome"	"Gold"	"8935"	"G302.00"	"Acute inferolateral infarction"	""
"229"	"Acute coronary syndrome"	"Gold"	"9276"	"G31y000"	"Acute coronary insufficiency"	""
"230"	"Acute coronary syndrome"	"Gold"	"9413"	"G31y.00"	"Other acute and subacute ischaemic heart disease"	""
"231"	"Acute coronary syndrome"	"Gold"	"9507"	"G307000"	"Acute non-Q wave infarction"	""
"232"	"Acute coronary syndrome"	"Gold"	"9555"	"G33z500"	"Post infarct angina"	""
"233"	"Acute coronary syndrome"	"Gold"	"95550"	"8H2V.00"	"Admit ischaemic heart disease emergency"	""
"234"	"Acute coronary syndrome"	"Gold"	"96838"	"Gyu3400"	"[X]Acute transmural myocardial infarction of unspecif site"	""
"235"	"Acute coronary syndrome"	"Gold"	"99991"	"Gyu3600"	"[X]Subsequent myocardial infarction of unspecified site"	""
"236"	"Acute coronary syndrome"	"ICD-10"	"I20.0"	""	"Unstable angina"	""
"237"	"Acute coronary syndrome"	"ICD-10"	"I21"	""	"Acute myocardial infarction"	""
"238"	"Acute coronary syndrome"	"ICD-10"	"I21.0"	""	"Acute transmural myocardial infarction of anterior wall"	""
"239"	"Acute coronary syndrome"	"ICD-10"	"I21.1"	""	"Acute transmural myocardial infarction of inferior wall"	""
"240"	"Acute coronary syndrome"	"ICD-10"	"I21.2"	""	"Acute transmural myocardial infarction of other sites"	""
"241"	"Acute coronary syndrome"	"ICD-10"	"I21.3"	""	"Acute transmural myocardial infarction of unspecified site"	""
"242"	"Acute coronary syndrome"	"ICD-10"	"I21.4"	""	"Acute subendocardial myocardial infarction"	""
"243"	"Acute coronary syndrome"	"ICD-10"	"I21.9"	""	"Acute myocardial infarction, unspecified"	""
"244"	"Acute coronary syndrome"	"ICD-10"	"I22"	""	"Subsequent myocardial infarction"	""
"245"	"Acute coronary syndrome"	"ICD-10"	"I22.0"	""	"Subsequent myocardial infarction of anterior wall"	""
"246"	"Acute coronary syndrome"	"ICD-10"	"I22.1"	""	"Subsequent myocardial infarction of inferior wall"	""
"247"	"Acute coronary syndrome"	"ICD-10"	"I22.8"	""	"Subsequent myocardial infarction of other sites"	""
"248"	"Acute coronary syndrome"	"ICD-10"	"I22.9"	""	"Subsequent myocardial infarction of unspecified site"	""
"249"	"Acute coronary syndrome"	"ICD-10"	"I23"	""	"Certain current complications following acute myocardial infarction"	""
"250"	"Acute coronary syndrome"	"ICD-10"	"I23.0"	""	"Haemopericardium as current complication following acute myocardial infarction"	""
"251"	"Acute coronary syndrome"	"ICD-10"	"I23.1"	""	"Atrial septal defect as current complication following acute myocardial infarction"	""
